END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
5,Гэр бүлээ дагаж УБ хот,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээ даган шилжих,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээр Хөтөл хот руу шилжих болсон.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээрээ шилжиж амьдрахаар болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэрлэсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэртэй ойр сургуульд орон тоо гарсан учир,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Гэртэйгээ ойр 108-р цэцэрлэгт шилжин ажилласан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
9,Гэрээгэээр БСШУЯ-ны дэргэдэх хэрэгжилтийн багт ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
15,Гэрээт хугацаа дууссан,гэрээний хугацаа дууссан
11,ДЗОУБ-ын цэцэрлэгийн өмч Хархорин сумын 1-р цэцэрлэгт шилжиж улсын цэцэрлэг болсон,өөрийн хүсэлтээр
8,ДУ 4-р сургуульд дууны багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,ДУ аймгийн 4-р сургуульд багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан - Уул аймгийн Орхон сумын 9-р цэцэрлэгт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан -Уул аймаг-руу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан Нэхий  эдлэлийн үйлдвэрт хувуурилагдсан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан Техникийн дээд сургууль гэж байх үед ажиллаж байсан. 2010 оноос ДаТС-тай нэгдсэн болно.,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан- Уул аймгийн ШГ сумын 2-р сургуульруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймаг шилжих болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Дархан-Уул аймагруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
